Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_191.jpg;-15;1;0;3.015563;104.9783;92.16268;0.304173;43.81574;0.7478949
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_242.jpg;-15;1;0;3.039665;105.1208;92.27926;0.3704984;41.61369;0.5032135
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_291.jpg;-15;1;0;3.07516;105.2195;92.35522;0.4492626;40.10836;0.267684
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_341.jpg;-15;1;0;3.098179;105.3727;92.46595;0.6140757;37.82431;359.8144
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_391.jpg;-15;1;0;3.121234;105.477;92.53762;0.7000768;36.31382;359.5083
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_441.jpg;-15;1;0;3.152074;105.6356;92.64143;0.7445673;34.0189;359.0895
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_491.jpg;-15;1;0;3.16812;105.7421;92.70737;0.6775979;32.45765;358.8549
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_541.jpg;15;1;0;3.174959;105.892;92.81673;0.3804108;32.73416;358.9428
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_591.jpg;15;1;0;3.188244;105.9907;92.89295;0.1391984;33.73856;359.146
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_641.jpg;15;1;0;3.251307;106.1415;93.01125;359.9061;35.6803;359.4889
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_691.jpg;15;1;0;3.273344;106.2418;93.09377;359.8135;37.11711;359.7837
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_741.jpg;15;1;0;3.306035;106.3908;93.22367;359.7638;39.33931;0.325683
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_791.jpg;-15;1;0;3.335875;106.4901;93.31416;359.8345;40.82147;0.6879588
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_841.jpg;-15;1;0;3.341689;106.649;93.43954;359.9419;40.33296;0.8407156
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_891.jpg;15;1;0;3.359832;106.7553;93.52386;0.0203057;39.75403;0.9397323
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_942.jpg;15;1;0;3.360582;106.9051;93.65958;0.06900814;41.03931;1.263137
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_991.jpg;15;1;0;3.371649;107.0037;93.74998;0.02299196;42.15634;1.341937
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_041.jpg;15;1;0;3.384991;107.1499;93.88796;359.9474;43.92565;1.267781
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_091.jpg;15;1;0;3.430737;107.2465;93.98662;0.02595894;45.43445;1.198612
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_141.jpg;15;1;0;3.461666;107.3854;94.13947;0.01568014;47.72832;1.108558
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_190.jpg;-15;1;0;3.471114;107.4819;94.2391;-0.001445359;47.75605;0.9136628
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_241.jpg;-15;1;0;3.491522;107.633;94.38512;-0.002251988;46.13727;0.4771977
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_291.jpg;-15;1;0;3.51166;107.7371;94.48112;0.03708371;44.72122;0.1265049
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_03_341.jpg;-15;1;0;3.542499;107.8991;94.62216;0.1600602;42.44983;359.5076
